iter	Passed	Remaining
0	157	94411
1	167	50083
2	174	34636
3	179	26758
4	187	22291
5	196	19430
6	206	17495
7	212	15734
8	224	14750
9	234	13864
10	243	13020
11	250	12293
12	259	11721
13	266	11163
14	274	10689
15	280	10255
16	289	9929
17	298	9665
18	309	9455
19	316	9191
20	332	9170
21	341	8968
22	348	8744
23	357	8586
24	364	8376
25	370	8174
26	377	8005
27	383	7836
28	391	7708
29	396	7528
30	402	7381
31	412	7327
32	417	7181
33	423	7041
34	426	6891
35	433	6793
36	439	6687
37	445	6590
38	453	6518
39	464	6509
40	513	7006
41	573	7624
42	626	8119
43	657	8313
44	681	8408
45	692	8338
46	713	8393
47	767	8829
48	780	8774
49	805	8865
50	813	8754
51	839	8845
52	852	8797
53	861	8706
54	870	8629
55	877	8524
56	886	8449
57	898	8392
58	904	8297
59	913	8217
60	922	8152
61	932	8092
62	950	8105
63	967	8099
64	985	8107
65	991	8018
66	998	7940
67	1004	7862
68	1014	7806
69	1025	7764
70	1031	7687
71	1038	7613
72	1045	7548
73	1053	7489
74	1061	7427
75	1069	7373
76	1086	7379
77	1095	7331
78	1106	7299
79	1113	7238
80	1121	7184
81	1129	7132
82	1135	7073
83	1143	7022
84	1149	6965
85	1156	6914
86	1164	6865
87	1172	6823
88	1181	6785
89	1190	6744
90	1202	6728
91	1210	6683
92	1216	6633
93	1227	6609
94	1237	6576
95	1244	6536
96	1259	6531
97	1266	6487
98	1273	6444
99	1280	6404
100	1287	6358
101	1297	6332
102	1304	6294
103	1313	6264
104	1321	6229
105	1331	6203
106	1341	6179
107	1348	6141
108	1354	6101
109	1360	6060
110	1366	6019
111	1374	5989
112	1383	5962
113	1393	5940
114	1400	5907
115	1407	5873
116	1416	5848
117	1425	5822
118	1431	5786
119	1437	5751
120	1443	5716
121	1451	5685
122	1458	5654
123	1467	5634
124	1473	5598
125	1481	5572
126	1488	5544
127	1494	5512
128	1501	5481
129	1506	5447
130	1513	5419
131	1520	5392
132	1528	5367
133	1535	5340
134	1545	5324
135	1559	5319
136	1566	5295
137	1576	5277
138	1582	5249
139	1593	5235
140	1602	5215
141	1610	5194
142	1618	5173
143	1624	5145
144	1632	5122
145	1640	5102
146	1650	5087
147	1657	5061
148	1663	5034
149	1672	5018
150	1679	4992
151	1684	4966
152	1692	4943
153	1697	4916
154	1702	4888
155	1709	4864
156	1715	4840
157	1721	4814
158	1729	4797
159	1737	4777
160	1743	4755
161	1750	4733
162	1759	4718
163	1765	4692
164	1774	4677
165	1780	4655
166	1787	4634
167	1795	4617
168	1803	4600
169	1813	4586
170	1818	4561
171	1825	4541
172	1835	4529
173	1842	4510
174	1850	4493
175	1856	4472
176	1867	4462
177	1872	4439
178	1878	4417
179	1895	4423
180	1901	4402
181	1909	4385
182	1916	4366
183	1921	4345
184	1929	4329
185	1938	4313
186	1945	4297
187	1952	4278
188	1958	4258
189	1963	4237
190	1972	4222
191	1977	4202
192	2002	4222
193	2007	4201
194	2014	4183
